Save 0 - Episode 232/400, Score: 200.0 (0.01), AVG Score: 195.02
Save 1 - Episode 233/400, Score: 200.0 (0.01), AVG Score: 195.4
Save 2 - Episode 234/400, Score: 200.0 (0.01), AVG Score: 195.4
Save 3 - Episode 235/400, Score: 200.0 (0.01), AVG Score: 195.4
Save 4 - Episode 236/400, Score: 200.0 (0.01), AVG Score: 195.4
Save 5 - Episode 237/400, Score: 200.0 (0.01), AVG Score: 195.55
Save 6 - Episode 238/400, Score: 200.0 (0.01), AVG Score: 195.87
Save 7 - Episode 239/400, Score: 200.0 (0.01), AVG Score: 196.13
Save 8 - Episode 240/400, Score: 200.0 (0.01), AVG Score: 196.13
Save 9 - Episode 241/400, Score: 200.0 (0.01), AVG Score: 196.13
Save 10 - Episode 242/400, Score: 200.0 (0.01), AVG Score: 196.13
Save 11 - Episode 243/400, Score: 200.0 (0.01), AVG Score: 196.28
Save 12 - Episode 244/400, Score: 200.0 (0.01), AVG Score: 196.42
Save 13 - Episode 245/400, Score: 200.0 (0.01), AVG Score: 196.79
Save 14 - Episode 246/400, Score: 200.0 (0.01), AVG Score: 197.37
Save 15 - Episode 247/400, Score: 200.0 (0.01), AVG Score: 197.87
Save 16 - Episode 248/400, Score: 200.0 (0.01), AVG Score: 198.35
Save 17 - Episode 249/400, Score: 200.0 (0.01), AVG Score: 198.35
Save 18 - Episode 250/400, Score: 200.0 (0.01), AVG Score: 198.35
Save 19 - Episode 251/400, Score: 200.0 (0.01), AVG Score: 198.35
Save 20 - Episode 252/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 21 - Episode 253/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 22 - Episode 254/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 23 - Episode 255/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 24 - Episode 256/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 25 - Episode 257/400, Score: 200.0 (0.01), AVG Score: 198.45
Save 26 - Episode 258/400, Score: 200.0 (0.01), AVG Score: 198.72
Save 27 - Episode 259/400, Score: 200.0 (0.01), AVG Score: 198.72
Save 28 - Episode 260/400, Score: 200.0 (0.01), AVG Score: 199.15
Save 29 - Episode 261/400, Score: 200.0 (0.01), AVG Score: 199.15
Save 30 - Episode 262/400, Score: 200.0 (0.01), AVG Score: 199.3
Save 31 - Episode 263/400, Score: 200.0 (0.01), AVG Score: 199.3
Save 32 - Episode 265/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 33 - Episode 266/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 34 - Episode 267/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 35 - Episode 268/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 36 - Episode 269/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 37 - Episode 270/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 38 - Episode 271/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 39 - Episode 272/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 40 - Episode 273/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 41 - Episode 274/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 42 - Episode 275/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 43 - Episode 276/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 44 - Episode 277/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 45 - Episode 278/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 46 - Episode 279/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 47 - Episode 280/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 48 - Episode 281/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 49 - Episode 282/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 50 - Episode 283/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 51 - Episode 284/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 52 - Episode 285/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 53 - Episode 286/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 54 - Episode 287/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 55 - Episode 288/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 56 - Episode 289/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 57 - Episode 290/400, Score: 200.0 (0.01), AVG Score: 199.26
Save 58 - Episode 292/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 59 - Episode 293/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 60 - Episode 294/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 61 - Episode 295/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 62 - Episode 296/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 63 - Episode 297/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 64 - Episode 298/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 65 - Episode 299/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 66 - Episode 300/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 67 - Episode 301/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 68 - Episode 302/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 69 - Episode 303/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 70 - Episode 304/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 71 - Episode 305/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 72 - Episode 306/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 73 - Episode 307/400, Score: 200.0 (0.01), AVG Score: 199.04
Save 74 - Episode 308/400, Score: 200.0 (0.01), AVG Score: 199.04
