Save 0 - Episode 332/400, Score: 200.0 (0.01), AVG Score: 195.39
Save 1 - Episode 333/400, Score: 200.0 (0.01), AVG Score: 195.39
Save 2 - Episode 334/400, Score: 200.0 (0.01), AVG Score: 195.39
Save 3 - Episode 335/400, Score: 200.0 (0.01), AVG Score: 196.09
Save 4 - Episode 337/400, Score: 200.0 (0.01), AVG Score: 195.67
Save 5 - Episode 338/400, Score: 200.0 (0.01), AVG Score: 195.67
Save 6 - Episode 339/400, Score: 200.0 (0.01), AVG Score: 195.67
Save 7 - Episode 340/400, Score: 200.0 (0.01), AVG Score: 196.46
Save 8 - Episode 341/400, Score: 200.0 (0.01), AVG Score: 197.12
Save 9 - Episode 342/400, Score: 200.0 (0.01), AVG Score: 197.46
Save 10 - Episode 343/400, Score: 200.0 (0.01), AVG Score: 197.46
Save 11 - Episode 345/400, Score: 200.0 (0.01), AVG Score: 196.96
Save 12 - Episode 346/400, Score: 200.0 (0.01), AVG Score: 196.96
Save 13 - Episode 347/400, Score: 200.0 (0.01), AVG Score: 196.96
Save 14 - Episode 348/400, Score: 200.0 (0.01), AVG Score: 197.63
Save 15 - Episode 349/400, Score: 200.0 (0.01), AVG Score: 197.74
Save 16 - Episode 351/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 17 - Episode 352/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 18 - Episode 353/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 19 - Episode 354/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 20 - Episode 355/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 21 - Episode 356/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 22 - Episode 357/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 23 - Episode 358/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 24 - Episode 359/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 25 - Episode 360/400, Score: 200.0 (0.01), AVG Score: 197.57
Save 26 - Episode 361/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 27 - Episode 362/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 28 - Episode 363/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 29 - Episode 364/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 30 - Episode 365/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 31 - Episode 366/400, Score: 200.0 (0.01), AVG Score: 197.96
Save 32 - Episode 367/400, Score: 200.0 (0.01), AVG Score: 198.5
Save 33 - Episode 368/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 34 - Episode 369/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 35 - Episode 370/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 36 - Episode 371/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 37 - Episode 372/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 38 - Episode 373/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 39 - Episode 374/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 40 - Episode 375/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 41 - Episode 376/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 42 - Episode 377/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 43 - Episode 378/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 44 - Episode 379/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 45 - Episode 380/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 46 - Episode 381/400, Score: 200.0 (0.01), AVG Score: 198.74
Save 47 - Episode 385/400, Score: 200.0 (0.01), AVG Score: 198.07
Save 48 - Episode 386/400, Score: 200.0 (0.01), AVG Score: 198.07
Save 49 - Episode 388/400, Score: 200.0 (0.01), AVG Score: 197.2
Save 50 - Episode 389/400, Score: 200.0 (0.01), AVG Score: 197.2
Save 51 - Episode 391/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 52 - Episode 392/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 53 - Episode 393/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 54 - Episode 394/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 55 - Episode 395/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 56 - Episode 396/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 57 - Episode 397/400, Score: 200.0 (0.01), AVG Score: 196.35
Save 58 - Episode 398/400, Score: 200.0 (0.01), AVG Score: 196.35
