Save 0 - Episode 216/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 1 - Episode 217/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 2 - Episode 218/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 3 - Episode 219/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 4 - Episode 220/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 5 - Episode 221/400, Score: 200.0 (0.01), AVG Score: 195.14
Save 6 - Episode 222/400, Score: 200.0 (0.01), AVG Score: 195.24
Save 7 - Episode 223/400, Score: 200.0 (0.01), AVG Score: 195.24
Save 8 - Episode 224/400, Score: 200.0 (0.01), AVG Score: 195.34
Save 9 - Episode 225/400, Score: 200.0 (0.01), AVG Score: 195.78
Save 10 - Episode 226/400, Score: 200.0 (0.01), AVG Score: 195.8
Save 11 - Episode 227/400, Score: 200.0 (0.01), AVG Score: 195.8
Save 12 - Episode 228/400, Score: 200.0 (0.01), AVG Score: 195.8
Save 13 - Episode 229/400, Score: 200.0 (0.01), AVG Score: 195.8
Save 14 - Episode 230/400, Score: 200.0 (0.01), AVG Score: 195.87
Save 15 - Episode 231/400, Score: 200.0 (0.01), AVG Score: 195.87
Save 16 - Episode 232/400, Score: 200.0 (0.01), AVG Score: 195.87
Save 17 - Episode 233/400, Score: 200.0 (0.01), AVG Score: 196.19
Save 18 - Episode 234/400, Score: 200.0 (0.01), AVG Score: 196.19
Save 19 - Episode 235/400, Score: 200.0 (0.01), AVG Score: 196.52
Save 20 - Episode 236/400, Score: 200.0 (0.01), AVG Score: 196.52
Save 21 - Episode 237/400, Score: 200.0 (0.01), AVG Score: 196.52
Save 22 - Episode 238/400, Score: 200.0 (0.01), AVG Score: 196.81
Save 23 - Episode 239/400, Score: 200.0 (0.01), AVG Score: 196.81
Save 24 - Episode 240/400, Score: 200.0 (0.01), AVG Score: 196.94
Save 25 - Episode 241/400, Score: 200.0 (0.01), AVG Score: 197.07
Save 26 - Episode 242/400, Score: 200.0 (0.01), AVG Score: 197.61
Save 27 - Episode 243/400, Score: 200.0 (0.01), AVG Score: 198.09
Save 28 - Episode 244/400, Score: 200.0 (0.01), AVG Score: 198.47
Save 29 - Episode 245/400, Score: 200.0 (0.01), AVG Score: 198.93
Save 30 - Episode 246/400, Score: 200.0 (0.01), AVG Score: 199.1
Save 31 - Episode 247/400, Score: 200.0 (0.01), AVG Score: 199.1
Save 32 - Episode 248/400, Score: 200.0 (0.01), AVG Score: 199.1
Save 33 - Episode 249/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 34 - Episode 250/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 35 - Episode 251/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 36 - Episode 252/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 37 - Episode 253/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 38 - Episode 254/400, Score: 200.0 (0.01), AVG Score: 199.49
Save 39 - Episode 255/400, Score: 200.0 (0.01), AVG Score: 199.67
Save 40 - Episode 256/400, Score: 200.0 (0.01), AVG Score: 199.67
Save 41 - Episode 257/400, Score: 200.0 (0.01), AVG Score: 199.67
Save 42 - Episode 258/400, Score: 200.0 (0.01), AVG Score: 199.67
Save 43 - Episode 259/400, Score: 200.0 (0.01), AVG Score: 199.73
Save 44 - Episode 260/400, Score: 200.0 (0.01), AVG Score: 199.73
Save 45 - Episode 261/400, Score: 200.0 (0.01), AVG Score: 199.73
